# frame t_err(m) r_err(deg) dx dy dz
0 0.139826 1.584553 -0.017778 -0.117476 -0.073721
1 0.139910 1.584004 -0.018418 -0.117847 -0.073128
2 0.139697 1.589436 -0.017682 -0.117596 -0.073306
3 0.139265 1.582297 -0.017775 -0.116982 -0.073444
4 0.140113 1.584797 -0.018302 -0.117715 -0.073757
5 0.140858 1.581690 -0.018792 -0.118453 -0.073869
6 0.139943 1.583521 -0.018037 -0.117575 -0.073720
7 0.139844 1.589006 -0.018828 -0.117546 -0.073383
8 0.139275 1.584018 -0.018201 -0.116785 -0.073671
9 0.137877 1.593830 -0.023478 -0.115200 -0.072025
10 0.132812 1.579480 -0.028275 -0.108499 -0.071188
11 0.104614 1.500920 -0.024310 -0.070610 -0.073261
12 0.086539 1.440157 -0.000471 -0.047831 -0.072118
13 0.086706 1.493219 0.008344 -0.046011 -0.073016
14 0.094364 1.539514 -0.000809 -0.064193 -0.069160
15 0.103494 1.629202 -0.020635 -0.072933 -0.070470
16 0.105027 1.603474 -0.023188 -0.075400 -0.069339
17 0.111970 1.538930 -0.014723 -0.084822 -0.071593
18 0.101808 1.600189 0.000320 -0.074684 -0.069189
19 0.098061 1.551012 0.005097 -0.068098 -0.070375
20 0.093687 1.581641 0.000002 -0.062178 -0.070079
21 0.091198 1.636731 0.007347 -0.062304 -0.066192
22 0.100115 1.689602 0.005718 -0.071614 -0.069726
23 0.100520 1.749492 0.004349 -0.072685 -0.069299
24 0.092660 1.787174 0.003722 -0.061241 -0.069438
25 0.082646 1.739070 0.005845 -0.051925 -0.064032
26 0.105077 1.762559 -0.003845 -0.085514 -0.060941
27 0.119624 1.694574 -0.012842 -0.096177 -0.069964
28 0.096547 1.595123 0.002624 -0.067612 -0.068870
29 0.074172 1.598779 0.020769 -0.022275 -0.067631
30 0.072538 1.489735 0.012623 -0.018344 -0.069036
31 0.081289 1.375181 -0.009146 -0.046673 -0.065923
32 0.096722 1.458315 -0.018834 -0.066766 -0.067400
33 0.093567 1.353668 -0.013352 -0.064654 -0.066306
34 0.083747 1.433620 0.000713 -0.051543 -0.066002
35 0.081322 1.447258 0.010350 -0.043814 -0.067723
36 0.090562 1.448032 0.004145 -0.061876 -0.065997
37 0.096765 1.590922 0.003720 -0.070881 -0.065768
38 0.103441 1.603065 -0.007446 -0.076696 -0.069010
39 0.093883 1.577274 0.001976 -0.067938 -0.064765
40 0.092849 1.668084 0.009596 -0.063806 -0.066766
41 0.099608 1.652468 0.014600 -0.073743 -0.065349
42 0.093977 1.691705 0.004351 -0.066100 -0.066660
43 0.091604 1.667792 0.005896 -0.066724 -0.062486
44 0.081221 1.688527 0.004144 -0.048435 -0.065067
45 0.094457 1.659304 0.004092 -0.073351 -0.059372
46 0.101848 1.687278 -0.010001 -0.082114 -0.059416
47 0.094828 1.687296 0.001773 -0.075239 -0.057692
48 0.080616 1.666739 0.008469 -0.053433 -0.059768
49 0.068870 1.575589 0.006381 -0.038028 -0.057064
50 0.077728 1.528534 -0.003892 -0.050396 -0.059049
51 0.078482 1.527119 -0.002614 -0.051839 -0.058867
52 0.078784 1.536743 0.012105 -0.051941 -0.057987
53 0.070599 1.542998 0.014807 -0.041450 -0.055198
54 0.072523 1.498996 0.003250 -0.044005 -0.057555
55 0.071429 1.430711 -0.004002 -0.044375 -0.055830
56 0.069246 1.376753 -0.007204 -0.036019 -0.058701
57 0.063579 1.376485 0.001963 -0.026337 -0.057834
58 0.062542 1.319517 0.002681 -0.026875 -0.056410
59 0.060954 1.380784 0.009032 -0.027823 -0.053476
60 0.065544 1.512092 0.013840 -0.030098 -0.056556
61 0.067549 1.546875 0.015642 -0.034321 -0.056038
62 0.063808 1.594983 0.008973 -0.032918 -0.053921
63 0.065909 1.587224 0.008854 -0.037638 -0.053376
64 0.065022 1.549010 0.002037 -0.034977 -0.054775
65 0.063035 1.456453 0.004114 -0.030427 -0.055052
66 0.066592 1.406571 -0.002586 -0.034087 -0.057148
67 0.065745 1.388058 0.001110 -0.035804 -0.055129
68 0.066546 1.380832 0.003064 -0.034751 -0.056669
69 0.064541 1.367972 0.001823 -0.034959 -0.054223
70 0.067448 1.318675 -0.003542 -0.036500 -0.056608
71 0.065958 1.332819 0.000384 -0.035950 -0.055298
72 0.061194 1.411150 0.016851 -0.029908 -0.050659
73 0.069646 1.592899 0.021835 -0.036810 -0.054944
74 0.067420 1.581284 0.013079 -0.042259 -0.050878
75 0.071133 1.574646 0.002971 -0.046060 -0.054125
76 0.068228 1.531672 0.001606 -0.042649 -0.053231
77 0.067853 1.546784 0.008842 -0.042988 -0.051748
78 0.071574 1.547759 0.013251 -0.048423 -0.051015
79 0.069830 1.587465 0.012553 -0.048382 -0.048763
80 0.065751 1.620031 0.011696 -0.043732 -0.047685
81 0.067320 1.546646 0.005728 -0.048466 -0.046371
82 0.063582 1.571078 -0.003921 -0.042004 -0.047571
83 0.066488 1.482231 -0.002381 -0.036321 -0.055639
84 0.064231 1.475655 0.001253 -0.020410 -0.060889
85 0.069304 1.506438 0.030489 -0.001938 -0.062207
86 0.077288 1.739851 0.045350 0.003416 -0.062491
87 0.070628 1.741840 0.033241 -0.004714 -0.062138
88 0.068248 1.743775 0.009904 -0.013946 -0.066069
89 0.073164 1.757964 0.006446 -0.014866 -0.071347
90 0.081207 1.787148 0.022441 0.013837 -0.076808
91 0.093669 1.855737 0.037268 0.034786 -0.078581
92 0.087067 1.915361 0.037475 0.036933 -0.069371
93 0.086216 2.059430 0.049042 0.013554 -0.069601
94 0.092097 2.030691 0.060626 0.017328 -0.067128
95 0.098252 2.094390 0.064102 0.027921 -0.069028
96 0.091644 1.968494 0.044038 0.027100 -0.075663
97 0.078498 1.894430 0.017364 0.008926 -0.076031
98 0.075330 1.818029 0.007455 -0.008883 -0.074432
99 0.079602 1.808240 0.019025 -0.007207 -0.076958
100 0.081379 1.757119 0.029565 0.013329 -0.074638
101 0.081015 1.785987 0.031253 0.016619 -0.072874
102 0.078066 1.755865 0.013348 0.003542 -0.076835
103 0.070543 1.629945 0.005763 -0.014689 -0.068756
104 0.072859 1.728873 0.002653 -0.030031 -0.066329
105 0.072934 1.518792 0.010341 -0.026580 -0.067127
106 0.064891 1.552717 0.020962 -0.031776 -0.052553
107 0.071086 1.837135 0.037456 0.000083 -0.060418
108 0.080662 1.595177 0.027018 0.016092 -0.074279
109 0.086639 1.562527 0.016328 0.029882 -0.079667
110 0.074974 1.611100 0.007465 -0.000950 -0.074595
