# fid r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz
0 0.99977 -0.00193 -0.02135 -0.01778 0.00230 0.99985 0.01745 -0.11748 0.02131 -0.01749 0.99962 -0.07372
1 0.99977 -0.00196 -0.02132 -0.01781 0.00233 0.99984 0.01752 -0.11753 0.02128 -0.01757 0.99962 -0.07262
2 0.99977 -0.00195 -0.02144 -0.01763 0.00233 0.99984 0.01749 -0.11676 0.02141 -0.01754 0.99962 -0.07355
3 0.99977 -0.00193 -0.02130 -0.01756 0.00230 0.99984 0.01749 -0.11695 0.02126 -0.01754 0.99962 -0.07370
4 0.99977 -0.00194 -0.02121 -0.01863 0.00232 0.99984 0.01762 -0.11824 0.02117 -0.01766 0.99962 -0.07378
5 0.99977 -0.00192 -0.02117 -0.01913 0.00229 0.99984 0.01759 -0.11870 0.02114 -0.01763 0.99962 -0.07353
6 0.99977 -0.00191 -0.02129 -0.01826 0.00228 0.99984 0.01749 -0.11758 0.02125 -0.01753 0.99962 -0.07363
7 0.99977 -0.00192 -0.02142 -0.01852 0.00230 0.99984 0.01749 -0.11753 0.02138 -0.01753 0.99962 -0.07389
8 0.99977 -0.00192 -0.02139 -0.01728 0.00229 0.99985 0.01742 -0.11682 0.02135 -0.01746 0.99962 -0.07399
9 0.99977 -0.00220 -0.02151 -0.02348 0.00258 0.99984 0.01753 -0.11555 0.02147 -0.01758 0.99961 -0.07144
10 0.99978 -0.00079 -0.02116 -0.01840 0.00116 0.99984 0.01765 -0.11159 0.02114 -0.01767 0.99962 -0.07497
11 0.99978 -0.00318 -0.02079 -0.00959 0.00350 0.99987 0.01557 -0.09310 0.02073 -0.01564 0.99966 -0.07693
12 0.99978 -0.00134 -0.02090 0.01192 0.00162 0.99991 0.01332 -0.13395 0.02088 -0.01335 0.99969 -0.07142
13 0.99978 0.00205 -0.02101 -0.01129 -0.00176 0.99990 0.01377 -0.15494 0.02103 -0.01373 0.99968 -0.07038
14 0.99970 0.01019 -0.02205 -0.02960 -0.00993 0.99988 0.01207 -0.16909 0.02217 -0.01185 0.99968 -0.06816
15 0.99960 0.01778 -0.02209 -0.02672 -0.01750 0.99977 0.01257 -0.16653 0.02230 -0.01218 0.99968 -0.07079
16 0.99928 0.03063 -0.02254 -0.01170 -0.03039 0.99948 0.01121 -0.17951 0.02287 -0.01052 0.99968 -0.07029
17 0.99890 0.04170 -0.02144 -0.01328 -0.04146 0.99907 0.01163 -0.20344 0.02190 -0.01073 0.99970 -0.07132
18 0.99847 0.05014 -0.02314 -0.02340 -0.04989 0.99869 0.01129 -0.19251 0.02368 -0.01012 0.99967 -0.06854
19 0.99798 0.05941 -0.02247 -0.02790 -0.05917 0.99818 0.01131 -0.19878 0.02310 -0.00996 0.99968 -0.07016
20 0.99737 0.06864 -0.02320 -0.03113 -0.06840 0.99760 0.01078 -0.21215 0.02389 -0.00917 0.99967 -0.07043
21 0.99664 0.07822 -0.02411 -0.01955 -0.07799 0.99690 0.01035 -0.22060 0.02484 -0.00843 0.99966 -0.06599
22 0.99585 0.08773 -0.02429 -0.03872 -0.08748 0.99610 0.01119 -0.23617 0.02517 -0.00902 0.99964 -0.07048
23 0.99467 0.09985 -0.02587 -0.03537 -0.09960 0.99497 0.01057 -0.23132 0.02680 -0.00794 0.99961 -0.06737
24 0.99363 0.10980 -0.02524 -0.02816 -0.10953 0.99391 0.01185 -0.23299 0.02638 -0.00901 0.99961 -0.06816
25 0.99208 0.12313 -0.02472 -0.03687 -0.12289 0.99236 0.01107 -0.26702 0.02590 -0.00794 0.99963 -0.06508
26 0.98971 0.14058 -0.02672 -0.05508 -0.14029 0.99003 0.01229 -0.33043 0.02818 -0.00841 0.99957 -0.06377
27 0.98854 0.14866 -0.02630 -0.05598 -0.14838 0.98885 0.01235 -0.32650 0.02785 -0.00830 0.99958 -0.07298
28 0.98838 0.14983 -0.02576 -0.05541 -0.14960 0.98869 0.01059 -0.32655 0.02706 -0.00661 0.99961 -0.06976
29 0.98831 0.15022 -0.02610 -0.06032 -0.14999 0.98863 0.01050 -0.34811 0.02738 -0.00647 0.99960 -0.06743
30 0.98826 0.15081 -0.02447 -0.07600 -0.15062 0.98855 0.00945 -0.40499 0.02562 -0.00565 0.99966 -0.06988
31 0.98817 0.15172 -0.02226 -0.08128 -0.15154 0.98840 0.00956 -0.44260 0.02345 -0.00607 0.99971 -0.06607
32 0.98788 0.15339 -0.02361 -0.07840 -0.15319 0.98815 0.01004 -0.45273 0.02487 -0.00630 0.99967 -0.06855
33 0.98789 0.15361 -0.02171 -0.07139 -0.15342 0.98811 0.01017 -0.47015 0.02302 -0.00672 0.99971 -0.06752
34 0.98783 0.15392 -0.02249 -0.08000 -0.15367 0.98805 0.01221 -0.50287 0.02410 -0.00861 0.99967 -0.06747
35 0.98779 0.15416 -0.02249 -0.08443 -0.15391 0.98800 0.01279 -0.53151 0.02419 -0.00918 0.99967 -0.07020
36 0.98776 0.15431 -0.02266 -0.10053 -0.15406 0.98798 0.01252 -0.58159 0.02432 -0.00888 0.99966 -0.06840
37 0.98772 0.15438 -0.02383 -0.10040 -0.15403 0.98794 0.01581 -0.59324 0.02598 -0.01195 0.99959 -0.06822
38 0.98760 0.15517 -0.02399 -0.11469 -0.15481 0.98781 0.01612 -0.62797 0.02620 -0.01220 0.99958 -0.07223
39 0.98753 0.15561 -0.02394 -0.09952 -0.15528 0.98775 0.01538 -0.65093 0.02604 -0.01147 0.99960 -0.06861
40 0.98779 0.15378 -0.02501 -0.11509 -0.15339 0.98803 0.01662 -0.67765 0.02726 -0.01258 0.99955 -0.07103
41 0.98740 0.15633 -0.02464 -0.12292 -0.15594 0.98762 0.01705 -0.73028 0.02700 -0.01299 0.99955 -0.06854
42 0.98775 0.15402 -0.02490 -0.13755 -0.15361 0.98797 0.01781 -0.74236 0.02735 -0.01376 0.99953 -0.07030
43 0.98755 0.15542 -0.02432 -0.13293 -0.15500 0.98775 0.01823 -0.78214 0.02685 -0.01424 0.99954 -0.06650
44 0.98761 0.15504 -0.02421 -0.14526 -0.15462 0.98780 0.01855 -0.80429 0.02679 -0.01458 0.99953 -0.07223
45 0.98640 0.16265 -0.02371 -0.15008 -0.16223 0.98657 0.01899 -0.87557 0.02648 -0.01488 0.99954 -0.06658
46 0.98605 0.16474 -0.02386 -0.16486 -0.16429 0.98621 0.01977 -0.90010 0.02679 -0.01558 0.99952 -0.06610
47 0.98590 0.16558 -0.02422 -0.16032 -0.16512 0.98608 0.01962 -0.92192 0.02713 -0.01535 0.99951 -0.06413
48 0.98620 0.16392 -0.02330 -0.17591 -0.16345 0.98634 0.02058 -0.95533 0.02636 -0.01648 0.99952 -0.06748
49 0.98613 0.16444 -0.02271 -0.18674 -0.16403 0.98628 0.01882 -1.00191 0.02549 -0.01483 0.99957 -0.06533
50 0.98582 0.16628 -0.02240 -0.19036 -0.16590 0.98598 0.01787 -1.05392 0.02506 -0.01391 0.99959 -0.06731
51 0.98609 0.16456 -0.02326 -0.18740 -0.16422 0.98629 0.01599 -1.07903 0.02557 -0.01194 0.99960 -0.06634
52 0.98601 0.16498 -0.02377 -0.19395 -0.16464 0.98623 0.01570 -1.12459 0.02603 -0.01157 0.99959 -0.06461
53 0.98622 0.16373 -0.02380 -0.21316 -0.16338 0.98643 0.01598 -1.15693 0.02609 -0.01187 0.99959 -0.06318
54 0.98614 0.16427 -0.02334 -0.22521 -0.16395 0.98635 0.01521 -1.20089 0.02551 -0.01117 0.99961 -0.06711
55 0.98617 0.16427 -0.02215 -0.21742 -0.16397 0.98635 0.01489 -1.23466 0.02429 -0.01105 0.99964 -0.06388
56 0.98650 0.16238 -0.02147 -0.22638 -0.16210 0.98668 0.01388 -1.26679 0.02344 -0.01021 0.99967 -0.06530
57 0.98640 0.16292 -0.02165 -0.23256 -0.16265 0.98659 0.01368 -1.30379 0.02358 -0.00997 0.99967 -0.06485
58 0.98631 0.16354 -0.02114 -0.24092 -0.16331 0.98650 0.01210 -1.34843 0.02284 -0.00848 0.99970 -0.06427
59 0.98641 0.16274 -0.02238 -0.24261 -0.16251 0.98664 0.01187 -1.38331 0.02401 -0.00807 0.99968 -0.06001
60 0.98652 0.16177 -0.02464 -0.25903 -0.16151 0.98679 0.01232 -1.42635 0.02631 -0.00818 0.99962 -0.06057
61 0.98644 0.16219 -0.02509 -0.27071 -0.16191 0.98672 0.01272 -1.46658 0.02682 -0.00849 0.99960 -0.06116
62 0.98664 0.16085 -0.02585 -0.28104 -0.16057 0.98694 0.01266 -1.49594 0.02755 -0.00834 0.99959 -0.06126
63 0.98644 0.16212 -0.02561 -0.27991 -0.16182 0.98673 0.01344 -1.53786 0.02745 -0.00911 0.99958 -0.06167
64 0.98667 0.16082 -0.02476 -0.29518 -0.16051 0.98693 0.01421 -1.57412 0.02672 -0.01004 0.99959 -0.06312
65 0.98668 0.16105 -0.02307 -0.29716 -0.16074 0.98689 0.01456 -1.61139 0.02511 -0.01065 0.99963 -0.06205
66 0.98667 0.16122 -0.02211 -0.30662 -0.16093 0.98686 0.01449 -1.65455 0.02416 -0.01074 0.99965 -0.06283
67 0.98668 0.16119 -0.02190 -0.30361 -0.16091 0.98687 0.01395 -1.69034 0.02386 -0.01024 0.99966 -0.06154
68 0.98684 0.16021 -0.02184 -0.31882 -0.15994 0.98703 0.01378 -1.72950 0.02376 -0.01011 0.99967 -0.06329
69 0.98676 0.16077 -0.02141 -0.32551 -0.16048 0.98693 0.01461 -1.76630 0.02348 -0.01098 0.99966 -0.06170
70 0.98693 0.15984 -0.02053 -0.33165 -0.15956 0.98708 0.01470 -1.80211 0.02262 -0.01123 0.99968 -0.06291
71 0.98701 0.15934 -0.02070 -0.33527 -0.15905 0.98716 0.01490 -1.83723 0.02281 -0.01141 0.99967 -0.06214
72 0.98707 0.15874 -0.02230 -0.32929 -0.15844 0.98726 0.01454 -1.87154 0.02432 -0.01082 0.99965 -0.05622
73 0.98705 0.15841 -0.02535 -0.35700 -0.15804 0.98731 0.01578 -1.92999 0.02753 -0.01156 0.99955 -0.06075
74 0.98725 0.15723 -0.02482 -0.37660 -0.15684 0.98748 0.01711 -1.95770 0.02720 -0.01300 0.99955 -0.05649
75 0.98745 0.15605 -0.02445 -0.37068 -0.15565 0.98766 0.01764 -1.98728 0.02690 -0.01362 0.99955 -0.06027
76 0.98804 0.15236 -0.02362 -0.37096 -0.15197 0.98823 0.01760 -2.02814 0.02602 -0.01380 0.99957 -0.05944
77 0.98845 0.14966 -0.02363 -0.38529 -0.14925 0.98863 0.01822 -2.07044 0.02609 -0.01448 0.99955 -0.05630
78 0.98896 0.14634 -0.02327 -0.39005 -0.14591 0.98911 0.01924 -2.10520 0.02584 -0.01564 0.99954 -0.05421
